sample_id,gene_symbol,tpm
S001,EGFR,10.2
S001,ERBB2,11.5
S001,ABCB1,3.2
S001,MGAT5,5.0
S001,FUT8,11.0
S001,TP53,18.0
S001,KRAS,22.0
S002,EGFR,5.5
S002,ERBB2,9.5
S002,ABCB1,32.0
S002,MGAT5,6.0
S002,FUT8,13.0
S002,TP53,22.0
S002,KRAS,19.0
S003,EGFR,45.0
S003,ERBB2,8.0
S003,ABCB1,5.0
S003,MGAT5,14.0
S003,FUT8,20.0
S003,TP53,12.0
S003,KRAS,55.0
S004,EGFR,8.0
S004,ERBB2,40.0
S004,ABCB1,2.5
S004,MGAT5,8.0
S004,FUT8,9.5
S004,TP53,25.0
S004,KRAS,18.0
S005,EGFR,22.0
S005,ERBB2,15.0
S005,ABCB1,6.0
S005,MGAT5,11.0
S005,FUT8,14.0
S005,TP53,20.0
S005,KRAS,28.0
